enrich_id,canonical_term,example_term,example_term_id,scheduler,category,short_definition,is_hpc_domain,freq_total,doc_count,aliases_json,raw_json
1094,executable name,executable name,1551,generic,other_hpc,The executable name is the file containing the code to be executed by a job step on the HPC cluster.,1,1,1,[],"{
  ""term"": ""executable name"",
  ""canonical"": ""executable name"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""The executable name is the file containing the code to be executed by a job step on the HPC cluster."",
  ""aliases"": []
}"
1095,file names,file names,1552,generic,other_hpc,"File names are the names of files used in job scripts or job steps, such as the executable name, input files, or output files.",1,1,1,[],"{
  ""term"": ""file names"",
  ""canonical"": ""file names"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""File names are the names of files used in job scripts or job steps, such as the executable name, input files, or output files."",
  ""aliases"": []
}"
1096,treewidth,TreeWidth parameter,1553,slurm,config_param,"The TreeWidth parameter in SLURM configures the degree of fanout in task launch message forwarding, affecting the distribution of tasks across nodes.",1,1,1,[],"{
  ""term"": ""TreeWidth parameter"",
  ""canonical"": ""treewidth"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""The TreeWidth parameter in SLURM configures the degree of fanout in task launch message forwarding, affecting the distribution of tasks across nodes."",
  ""aliases"": []
}"
1097,slurmstepd,slurmstepd program,1554,slurm,other_hpc,slurmstepd is a program launched by the slurmd daemon on nodes to manage job steps in SLURM.,1,1,1,[],"{
  ""term"": ""slurmstepd program"",
  ""canonical"": ""slurmstepd"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""slurmstepd is a program launched by the slurmd daemon on nodes to manage job steps in SLURM."",
  ""aliases"": []
}"
1099,launchparameters,LaunchParameters,1564,slurm,config_param,"LaunchParameters is a configuration parameter in SLURM that determines the type of step (batch, interactive, or normal) for a job.",1,6,5,[],"{
  ""term"": ""LaunchParameters"",
  ""canonical"": ""launchparameters"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""LaunchParameters is a configuration parameter in SLURM that determines the type of step (batch, interactive, or normal) for a job."",
  ""aliases"": []
}"
1100,normal step,normal step,1566,slurm,job_state,"A normal step is a job component in SLURM that runs a script or command provided to sbatch or srun, and can have multiple instances per job.",1,1,1,[],"{
  ""term"": ""normal step"",
  ""canonical"": ""normal step"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""job_state"",
  ""short_definition"": ""A normal step is a job component in SLURM that runs a script or command provided to sbatch or srun, and can have multiple instances per job."",
  ""aliases"": []
}"
1101,sacct,sacct,1568,slurm,command,sacct is a command-line tool in SLURM for querying job and step accounting information.,1,19,13,[],"{
  ""term"": ""sacct"",
  ""canonical"": ""sacct"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""command"",
  ""short_definition"": ""sacct is a command-line tool in SLURM for querying job and step accounting information."",
  ""aliases"": []
}"
1102,job_id,job_id,1569,slurm,job_state,"A unique identifier assigned to a job in SLURM, used to track and manage job states and steps.",1,6,5,[],"{
  ""term"": ""job_id"",
  ""canonical"": ""job_id"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""job_state"",
  ""short_definition"": ""A unique identifier assigned to a job in SLURM, used to track and manage job states and steps."",
  ""aliases"": []
}"
1103,step_id,step_id,1570,slurm,job_state,"step_id is a unique identifier for a step within a job in SLURM, used to differentiate between multiple steps within a job and their associated instances of slurmstepd.",1,2,2,[],"{
  ""term"": ""step_id"",
  ""canonical"": ""step_id"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""job_state"",
  ""short_definition"": ""step_id is a unique identifier for a step within a job in SLURM, used to differentiate between multiple steps within a job and their associated instances of slurmstepd."",
  ""aliases"": []
}"
1104,task,task,1571,slurm,resource,"A task is a unit of work executed by a job on one or more nodes in SLURM, represented by an instance of slurmstepd.",1,20,12,[],"{
  ""term"": ""task"",
  ""canonical"": ""task"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""resource"",
  ""short_definition"": ""A task is a unit of work executed by a job on one or more nodes in SLURM, represented by an instance of slurmstepd."",
  ""aliases"": []
}"
1105,slurm commands,Slurm commands,1573,slurm,other_hpc,"Slurm commands are the various tools used to interact with the SLURM workload manager, utilizing APIs exposed through 'slurm.h' and 'slurmdb.h' headers.",1,6,6,"[""Slurm command"", ""SLURM commands""]","{
  ""term"": ""Slurm commands"",
  ""canonical"": ""slurm commands"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""Slurm commands are the various tools used to interact with the SLURM workload manager, utilizing APIs exposed through 'slurm.h' and 'slurmdb.h' headers."",
  ""aliases"": [""Slurm command"", ""SLURM commands""]
}"
1106,apis,Application Programming Interfaces (APIs),1574,slurm,other_hpc,"Application Programming Interfaces (APIs) are a collection of interfaces exposed through the 'slurm.h' and 'slurmdb.h' headers in SLURM, allowing developers to submit, control, and query jobs programmatically.",1,1,1,"[""APIs"", ""API call"", ""API calls"", ""API Functions"", ""Application Programming Interfaces"", ""Application Programming Interfaces (APIs)""]","{
  ""term"": ""Application Programming Interfaces (APIs)"",
  ""canonical"": ""APIs"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""Application Programming Interfaces (APIs) are a collection of interfaces exposed through the 'slurm.h' and 'slurmdb.h' headers in SLURM, allowing developers to submit, control, and query jobs programmatically."",
  ""aliases"": [""APIs"", ""API call"", ""API calls"", ""API Functions"", ""Application Programming Interfaces"", ""Application Programming Interfaces (APIs)""]
}"
1107,slurm.h,slurm.h,1575,slurm,other_hpc,slurm.h is a header file containing the Application Programming Interfaces (APIs) for Slurm commands.,1,1,1,[],"{
  ""term"": ""slurm.h"",
  ""canonical"": ""slurm.h"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""slurm.h is a header file containing the Application Programming Interfaces (APIs) for Slurm commands."",
  ""aliases"": []
}"
1108,slurmdb.h,slurmdb.h,1576,slurm,config_file,"slurmdb.h is a header file containing APIs for Slurm's database management, used by Slurm commands.",1,1,1,[],"{
  ""term"": ""slurmdb.h"",
  ""canonical"": ""slurmdb.h"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_file"",
  ""short_definition"": ""slurmdb.h is a header file containing APIs for Slurm's database management, used by Slurm commands."",
  ""aliases"": []
}"
1109,slurm.h headers,slurm.h headers,1577,slurm,other_hpc,slurm.h headers are a collection of Application Programming Interfaces (APIs) used by Slurm commands for job management and control.,1,1,1,[],"{
  ""term"": ""slurm.h headers"",
  ""canonical"": ""slurm.h headers"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""slurm.h headers are a collection of Application Programming Interfaces (APIs) used by Slurm commands for job management and control."",
  ""aliases"": []
}"
1110,slurmdb.h headers,slurmdb.h headers,1578,slurm,other_hpc,slurmdb.h headers are a collection of APIs used by Slurm commands to interact with the Slurm database.,1,1,1,[],"{
  ""term"": ""slurmdb.h headers"",
  ""canonical"": ""slurmdb.h headers"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""slurmdb.h headers are a collection of APIs used by Slurm commands to interact with the Slurm database."",
  ""aliases"": []
}"
1111,slurms apis,Slurm's APIs,1579,slurm,other_hpc,"Slurm's APIs are a collection of interfaces for programmatic job submission, control, and querying, exposed through the 'slurm.h' and 'slurmdb.h' headers.",1,1,1,"[""Slurm APIs"", ""Slurm API call"", ""Slurm API calls"", ""Slurm API Functions"", ""Slurm Application Program Interfaces"", ""Slurm Application Programming Interfaces (APIs)""]","{
  ""term"": ""Slurm's APIs"",
  ""canonical"": ""slurms apis"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""Slurm's APIs are a collection of interfaces for programmatic job submission, control, and querying, exposed through the 'slurm.h' and 'slurmdb.h' headers."",
  ""aliases"": [""Slurm APIs"", ""Slurm API call"", ""Slurm API calls"", ""Slurm API Functions"", ""Slurm Application Program Interfaces"", ""Slurm Application Programming Interfaces (APIs)""]
}"
1112,fixed apis,fixed APIs,1580,slurm,other_hPC,Fixed APIs are a collection of Application Programming Interfaces (APIs) in SLURM that are stable within each major release but may change significantly between major releases.,1,1,1,[],"{
  ""term"": ""fixed APIs"",
  ""canonical"": ""fixed apis"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hPC"",
  ""short_definition"": ""Fixed APIs are a collection of Application Programming Interfaces (APIs) in SLURM that are stable within each major release but may change significantly between major releases."",
  ""aliases"": []
}"
1113,major release,major release,1581,slurm,other_hpc,"A major release refers to a significant update in the Slurm scheduler software, where APIs may change between versions.",1,1,1,[],"{
  ""term"": ""major release"",
  ""canonical"": ""major release"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""A major release refers to a significant update in the Slurm scheduler software, where APIs may change between versions."",
  ""aliases"": []
}"
1114,significantly,significantly,1582,unknown,non_domain,Not an HPC/scheduler-specific term; this is a general adverb meaning 'to a great degree' or 'in a significant manner'.,0,1,1,[],"{
  ""term"": ""significantly"",
  ""canonical"": ""significantly"",
  ""is_hpc_domain_term"": false,
  ""scheduler"": ""unknown"",
  ""category"": ""non_domain"",
  ""short_definition"": ""Not an HPC/scheduler-specific term; this is a general adverb meaning 'to a great degree' or 'in a significant manner'."",
  ""aliases"": []
}"
1115,developers,developers,1583,slurm,user_role,"Developers are users who create, modify, and maintain the Slurm software and its APIs.",1,1,1,[],"{
  ""term"": ""developers"",
  ""canonical"": ""developers"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""user_role"",
  ""short_definition"": ""Developers are users who create, modify, and maintain the Slurm software and its APIs."",
  ""aliases"": []
}"
1116,cross-version compatibility,cross-version compatibility,1585,generic,other_hpc,"Cross-version compatibility refers to the ability of software to work across different versions of a software package, in this case, the Slurm scheduler.",1,1,1,[],"{
  ""term"": ""cross-version compatibility"",
  ""canonical"": ""cross-version compatibility"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""Cross-version compatibility refers to the ability of software to work across different versions of a software package, in this case, the Slurm scheduler."",
  ""aliases"": []
}"
1117,core specialization,Core specialization,1586,slurm,resource,"Core specialization is a feature in SLURM that isolates system overhead to designated cores on a compute node, improving job completion time. It can be set using the -S or --core-spec option with a core count value.",1,1,1,[],"{
  ""term"": ""Core specialization"",
  ""canonical"": ""core specialization"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""resource"",
  ""short_definition"": ""Core specialization is a feature in SLURM that isolates system overhead to designated cores on a compute node, improving job completion time. It can be set using the -S or --core-spec option with a core count value."",
  ""aliases"": []
}"
1118,system overhead,system overhead,1587,slurm,resource,"System overhead refers to resources reserved for system-related tasks, such as system interrupts, on a compute node in SLURM. It can be specified using the --core-spec option in SLURM commands.",1,1,1,[],"{
  ""term"": ""system overhead"",
  ""canonical"": ""system overhead"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""resource"",
  ""short_definition"": ""System overhead refers to resources reserved for system-related tasks, such as system interrupts, on a compute node in SLURM. It can be specified using the --core-spec option in SLURM commands."",
  ""aliases"": []
}"
1119,--core-spec,--core-spec,1588,slurm,option_flag,"--core-spec is a command-line option used in SLURM to reserve cores for system overhead on allocated compute nodes, improving job performance by reducing context switching.",1,2,1,[],"{
  ""term"": ""--core-spec"",
  ""canonical"": ""--core-spec"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--core-spec is a command-line option used in SLURM to reserve cores for system overhead on allocated compute nodes, improving job performance by reducing context switching."",
  ""aliases"": []
}"
1120,allow_spec_resources_usage,AllowSpecResourcesUsage,1590,slurm,config_param,"AllowSpecResourcesUsage is a configuration parameter in SLURM that enables or disables core specialization, a feature that isolates system overhead to designated cores on a compute node.",1,3,1,[],"{
  ""term"": ""AllowSpecResourcesUsage"",
  ""canonical"": ""allow_spec_resources_usage"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""AllowSpecResourcesUsage is a configuration parameter in SLURM that enables or disables core specialization, a feature that isolates system overhead to designated cores on a compute node."",
  ""aliases"": []
}"
1121,sview,sview,1592,slurm,command,sview is a command in SLURM used to view the core specialization count for a job.,1,14,12,[],"{
  ""term"": ""sview"",
  ""canonical"": ""sview"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""command"",
  ""short_definition"": ""sview is a command in SLURM used to view the core specialization count for a job."",
  ""aliases"": []
}"
1122,implicit_exclusive,implicit --exclusive,1597,slurm,option_flag,"The 'implicit --exclusive' option in SLURM is an implicit setting that reserves entire nodes for a job when core specialization is used, charging for all non-specialized CPUs and reporting the total number of non-specialized CPUs in job accounting.",1,1,1,[],"{
  ""term"": ""implicit --exclusive"",
  ""canonical"": ""implicit_exclusive"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""The 'implicit --exclusive' option in SLURM is an implicit setting that reserves entire nodes for a job when core specialization is used, charging for all non-specialized CPUs and reporting the total number of non-specialized CPUs in job accounting."",
  ""aliases"": []
}"
1123,corespeccount,CoreSpecCount,1600,slurm,config_param,CoreSpecCount is a configuration parameter in SLURM that specifies the number of cores reserved for system overhead on each allocated compute node.,1,3,1,[],"{
  ""term"": ""CoreSpecCount"",
  ""canonical"": ""corespeccount"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""CoreSpecCount is a configuration parameter in SLURM that specifies the number of cores reserved for system overhead on each allocated compute node."",
  ""aliases"": []
}"
1124,cuspeclist,CpuSpecList,1601,slurm,config_param,"CpuSpecList is a configuration parameter in SLURM that defines the list of core specialization counts for each compute node, used to isolate system overhead and improve job performance.",1,3,1,[],"{
  ""term"": ""CpuSpecList"",
  ""canonical"": ""cuspeclist"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""CpuSpecList is a configuration parameter in SLURM that defines the list of core specialization counts for each compute node, used to isolate system overhead and improve job performance."",
  ""aliases"": []
}"
1125,specialized cores,specialized cores,1603,slurm,resource,"Specialized cores are CPU resources in SLURM that can be designated for specific tasks, such as accelerating I/O or other specialized workloads.",1,2,1,[],"{
  ""term"": ""specialized cores"",
  ""canonical"": ""specialized cores"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""resource"",
  ""short_definition"": ""Specialized cores are CPU resources in SLURM that can be designated for specific tasks, such as accelerating I/O or other specialized workloads."",
  ""aliases"": []
}"
1127,bash,bash,1613,generic,other_hPC,bash is a Unix shell used in HPC job scripts to execute commands and manage job workflows.,1,1,1,"[""Bash"", ""Bash shell""]","{
  ""term"": ""bash"",
  ""canonical"": ""bash"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""other_hPC"",
  ""short_definition"": ""bash is a Unix shell used in HPC job scripts to execute commands and manage job workflows."",
  ""aliases"": [""Bash"", ""Bash shell""]
}"
1128,granted job allocation,granted job allocation,1615,slurm,job_state,A 'granted job allocation' is a state indicating that a job has been successfully assigned resources on an SLURM cluster.,1,2,2,[],"{
  ""term"": ""granted job allocation"",
  ""canonical"": ""granted job allocation"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""job_state"",
  ""short_definition"": ""A 'granted job allocation' is a state indicating that a job has been successfully assigned resources on an SLURM cluster."",
  ""aliases"": []
}"
1129,cpus_allowed,Cpus_allowed,1616,slurm,resource,"Cpus_allowed is a SLURM resource attribute that specifies the CPUs a job or step can access, including specialized cores or threads.",1,1,1,[],"{
  ""term"": ""Cpus_allowed"",
  ""canonical"": ""cpus_allowed"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""resource"",
  ""short_definition"": ""Cpus_allowed is a SLURM resource attribute that specifies the CPUs a job or step can access, including specialized cores or threads."",
  ""aliases"": []
}"
1130,cpus_allowed_list,Cpus_allowed_list,1617,slurm,config_param,"Cpus_allowed_list is a configuration parameter in SLURM that specifies the list of CPU cores or threads that a job is allowed to use, as defined in the slurm.conf file.",1,1,1,[],"{
  ""term"": ""Cpus_allowed_list"",
  ""canonical"": ""cpus_allowed_list"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""Cpus_allowed_list is a configuration parameter in SLURM that specifies the list of CPU cores or threads that a job is allowed to use, as defined in the slurm.conf file."",
  ""aliases"": []
}"
1131,node specification,node specification,1622,slurm,config_param,Node specification is a configuration parameter in SLURM that defines the CPUs to reserve for specialized resources using CoreSpecCount or CPUSpecList options in slurm.conf.,1,1,1,[],"{
  ""term"": ""node specification"",
  ""canonical"": ""node specification"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""Node specification is a configuration parameter in SLURM that defines the CPUs to reserve for specialized resources using CoreSpecCount or CPUSpecList options in slurm.conf."",
  ""aliases"": []
}"
1132,memspeclimit,MemSpecLimit,1625,slurm,config_param,MemSpecLimit is a configuration parameter in SLURM used to reserve memory for specialized resources.,1,1,1,[],"{
  ""term"": ""MemSpecLimit"",
  ""canonical"": ""MemSpecLimit"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""MemSpecLimit is a configuration parameter in SLURM used to reserve memory for specialized resources."",
  ""aliases"": []
}"
1133,taskpluginparam,TaskPluginParam,1628,slurm,config_param,"TaskPluginParam is a configuration parameter in SLURM used to specify options for the TaskPlugin, such as reserving specialized cores or enabling SlurmdOffSpec.",1,2,2,[],"{
  ""term"": ""TaskPluginParam"",
  ""canonical"": ""taskpluginparam"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""TaskPluginParam is a configuration parameter in SLURM used to specify options for the TaskPlugin, such as reserving specialized cores or enabling SlurmdOffSpec."",
  ""aliases"": []
}"
1134,slurmdoffspec,SlurmdOffSpec,1629,slurm,config_param,"SlurmdOffSpec is a configuration parameter in SLURM that, when specified, allows the compute node daemon (slurmd) to operate outside of the Linux cgroups reserved for core specialization.",1,1,1,[],"{
  ""term"": ""SlurmdOffSpec"",
  ""canonical"": ""slurmdoffspec"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""SlurmdOffSpec is a configuration parameter in SLURM that, when specified, allows the compute node daemon (slurmd) to operate outside of the Linux cgroups reserved for core specialization."",
  ""aliases"": []
}"
1135,cgroup/v1,cgroup/v1,1630,generic,resource,"cgroup/v1 is a Linux control group version used for resource reservation and management in HPC systems, often configured for core specialization in SLURM.",1,5,3,[],"{
  ""term"": ""cgroup/v1"",
  ""canonical"": ""cgroup/v1"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""resource"",
  ""short_definition"": ""cgroup/v1 is a Linux control group version used for resource reservation and management in HPC systems, often configured for core specialization in SLURM."",
  ""aliases"": []
}"
1136,job's core specialization,job's core specialization,1633,generic,config_param,Job's core specialization is a configuration parameter that allows users to control the number of specialized cores for their job.,1,1,1,[],"{
  ""term"": ""job's core specialization"",
  ""canonical"": ""job's core specialization"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""config_param"",
  ""short_definition"": ""Job's core specialization is a configuration parameter that allows users to control the number of specialized cores for their job."",
  ""aliases"": []
}"
1137,core count,core count,1634,generic,resource,The number of CPU cores available for a job or compute node.,1,2,2,[],"{
  ""term"": ""core count"",
  ""canonical"": ""core count"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""resource"",
  ""short_definition"": ""The number of CPU cores available for a job or compute node."",
  ""aliases"": []
}"
1138,compute node,compute node,1635,generic,resource,A compute node is a physical or virtual machine in an HPC cluster that performs computations for jobs.,1,7,5,[],"{
  ""term"": ""compute node"",
  ""canonical"": ""compute node"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""resource"",
  ""short_definition"": ""A compute node is a physical or virtual machine in an HPC cluster that performs computations for jobs."",
  ""aliases"": []
}"
1139,configuration parameter,configuration parameter,1636,generic,config_param,A configuration parameter is a key or setting that controls the behavior of the scheduler or cluster resources.,1,3,2,[],"{
  ""term"": ""configuration parameter"",
  ""canonical"": ""configuration parameter"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""config_param"",
  ""short_definition"": ""A configuration parameter is a key or setting that controls the behavior of the scheduler or cluster resources."",
  ""aliases"": []
}"
1140,hyperthreads,hyperthreads,1638,generic,resource,Hyperthreads are a CPU resource that can be reserved for system use when the core count is not explicitly configured and the CPUs value is set to the count of hyperthreads.,1,1,1,[],"{
  ""term"": ""hyperthreads"",
  ""canonical"": ""hyperthreads"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""resource"",
  ""short_definition"": ""Hyperthreads are a CPU resource that can be reserved for system use when the core count is not explicitly configured and the CPUs value is set to the count of hyperthreads."",
  ""aliases"": []
}"
1141,priority site factor plugin api,Priority Site Factor Plugin API,1641,slurm,other_hpc,The Priority Site Factor Plugin API is a programmatic interface for creating custom multifactor priority factors in the Slurm scheduler.,1,1,1,[],"{
  ""term"": ""Priority Site Factor Plugin API"",
  ""canonical"": ""priority site factor plugin api"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""The Priority Site Factor Plugin API is a programmatic interface for creating custom multifactor priority factors in the Slurm scheduler."",
  ""aliases"": []
}"
1142,slurm site_factor plugins,Slurm site_factor plugins,1642,slurm,other_hpc,Slurm site_factor plugins are customizable components that help build a multifactor priority factor for job scheduling in Slurm. They implement the Slurm site_factor API and are loaded alongside PriorityType=priority/multifactor.,1,1,1,[],"{
  ""term"": ""Slurm site_factor plugins"",
  ""canonical"": ""slurm site_factor plugins"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""Slurm site_factor plugins are customizable components that help build a multifactor priority factor for job scheduling in Slurm. They implement the Slurm site_factor API and are loaded alongside PriorityType=priority/multifactor."",
  ""aliases"": []
}"
1143,slurm site_factor api,Slurm site_factor API,1643,slurm,other_hpc,The Slurm site_factor API is a programmatic interface for creating custom multifactor priority factors in Slurm site_factor plugins.,1,1,1,[],"{
  ""term"": ""Slurm site_factor API"",
  ""canonical"": ""slurm site_factor api"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""The Slurm site_factor API is a programmatic interface for creating custom multifactor priority factors in Slurm site_factor plugins."",
  ""aliases"": []
}"
1144,custom multifactor priority factor,custom multifactor priority factor,1644,slurm,config_param,"A custom multifactor priority factor is a Slurm plugin that allows the site to build a custom priority factor for jobs, using multiple factors to influence job scheduling.",1,1,1,[],"{
  ""term"": ""custom multifactor priority factor"",
  ""canonical"": ""custom multifactor priority factor"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""A custom multifactor priority factor is a Slurm plugin that allows the site to build a custom priority factor for jobs, using multiple factors to influence job scheduling."",
  ""aliases"": []
}"
1145,priority/multifactor,priority/multifactor,1646,slurm,config_param,"priority/multifactor is a Slurm plugin type that allows customizing a multifactor priority factor for jobs, used alongside PriorityType=priority/multifactor.",1,6,4,[],"{
  ""term"": ""priority/multifactor"",
  ""canonical"": ""priority/multifactor"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""priority/multifactor is a Slurm plugin type that allows customizing a multifactor priority factor for jobs, used alongside PriorityType=priority/multifactor."",
  ""aliases"": []
}"
1146,job_record_t,job_record_t,1647,both,config_param,job_record_t is a data structure used by SLURM and IBM LSF to store job-related information.,1,3,2,[],"{
  ""term"": ""job_record_t"",
  ""canonical"": ""job_record_t"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""config_param"",
  ""short_definition"": ""job_record_t is a data structure used by SLURM and IBM LSF to store job-related information."",
  ""aliases"": []
}"
1147,nice_offset,NICE_OFFSET,1648,slurm,config_param,NICE_OFFSET is a constant used as an offset in the Slurm site_factor plugin API to allow the site_factor value to be positive or negative.,1,1,1,[],"{
  ""term"": ""NICE_OFFSET"",
  ""canonical"": ""nice_offset"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""NICE_OFFSET is a constant used as an offset in the Slurm site_factor plugin API to allow the site_factor value to be positive or negative."",
  ""aliases"": []
}"
1148,major/minor,major/minor,1651,slurm,config_param,"In SLURM, 'major/minor' is a configuration parameter for Slurm site_factor plugins, specifying the major type as 'site_factor' and the minor type as a recognizable abbreviation for the specific plugin.",1,1,1,[],"{
  ""term"": ""major/minor"",
  ""canonical"": ""major/minor"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""In SLURM, 'major/minor' is a configuration parameter for Slurm site_factor plugins, specifying the major type as 'site_factor' and the minor type as a recognizable abbreviation for the specific plugin."",
  ""aliases"": []
}"
1149,site_factor,site_factor,1652,slurm,config_param,Slurm site_factor is a configurable parameter used in the Slurm Priority Site Factor Plugin API to build a custom multifactor priority factor for jobs.,1,4,3,[],"{
  ""term"": ""site_factor"",
  ""canonical"": ""site_factor"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""Slurm site_factor is a configurable parameter used in the Slurm Priority Site Factor Plugin API to build a custom multifactor priority factor for jobs."",
  ""aliases"": []
}"
1150,void,void,1656,generic,other_hpc,"In HPC context, 'void' is a return type for functions that do not return a value, such as cleanup or configuration functions in plugins.",1,1,1,[],"{
  ""term"": ""void"",
  ""canonical"": ""void"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""In HPC context, 'void' is a return type for functions that do not return a value, such as cleanup or configuration functions in plugins."",
  ""aliases"": []
}"
1151,dlopen,dlopen,1659,generic,other_hpc,"dlopen is a function used in shared library management, often found in plugin-based HPC schedulers like SLURM.",1,2,2,[],"{
  ""term"": ""dlopen"",
  ""canonical"": ""dlopen"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""other_hpc"",
  ""short_definition"": ""dlopen is a function used in shared library management, often found in plugin-based HPC schedulers like SLURM."",
  ""aliases"": []
}"
