edge_id,doc_id,chunk_id,child_term,parent_term,justification
188,doc_d9be,doc_d9be_chunk_0007,PartitionName,partition,"The text describes PartitionName as a name given to a partition, making it a specific type of partition."
189,doc_d9be,doc_d9be_chunk_0013,customized allocation,allocation,"The text describes a specific allocation strategy that is customized for the job, making it a subtype of allocation."
190,doc_e2a1,doc_e2a1_chunk_0004,fallback slurmctld,slurmctld,"The text describes fallback slurmctld as an additional instance of slurmctld, which is a specific type of slurmctld."
191,doc_e2a1,doc_e2a1_chunk_0004,fallback slurmdbd,slurmdbd,"The text describes fallback slurmdbd as an additional instance of slurmdbd, which is a specific type of slurmdbd."
192,doc_e2a1,doc_e2a1_chunk_0006,loopback interface,interface,"The loopback interface is a specific type of interface, as it is mentioned in the context of IPv4 and IPv6 interfaces."
193,doc_e2d8,doc_e2d8_chunk_0001,workflows that leverage each system,workflows,"The text discusses workflows that leverage both Slurm and Kubernetes, suggesting that these workflows are specific types of workflows designed to take advantage of both systems."
194,doc_e541,doc_e541_chunk_0007,EnergyIPMIFrequency,frequency,"The text explicitly states that EnergyIPMIFrequency is set in the context of frequency, and it is a specific configuration option for acct_gather.conf."
195,doc_e643,doc_e643_chunk_0002,scontrol getent command,command,"The text describes scontrol getent as a command that can be used on a compute node to print all passwd and group info associated with job steps on that node, indicating it is a specific type of command."
196,doc_e8f0,doc_e8f0_chunk_0002,slurmctld,Slurm,"The text describes slurmctld as a daemon managed by Slurm, making it a specific form of Slurm."
197,doc_e8f0,doc_e8f0_chunk_0003,slurmctld daemon,daemon,"The text mentions that the slurmctld daemon calls the job_submit function, making it a specific type of daemon."
198,doc_ebf2,doc_ebf2_chunk_0002,Slurm cgroup plugins,Slurm,The text describes Slurm cgroup plugins as a feature provided by Slurm.
199,doc_ebf2,doc_ebf2_chunk_0003,proctrack/cgroup plugin,cgroup plugin,"The text describes the proctrack/cgroup plugin as an alternative to other cgroup plugins, implying it is a specific type of cgroup plugin."
200,doc_ebf2,doc_ebf2_chunk_0003,task/cgroup plugin,cgroup plugin,"The text identifies the task/cgroup plugin as a cgroup plugin, making it a specific type of cgroup plugin."
201,doc_ed59,doc_ed59_chunk_0002,v0.0.43 API endpoints,API endpoints,"The text mentions new v0.0.43 API endpoints, implying that they are a specific type of API endpoints."
202,doc_edd8,doc_edd8_chunk_0002,Partition CpuBind,CpuBind,"The text explicitly states that the Partition's CpuBind value is configured in the slurm.conf file, similar to how a node's CpuBind value is configured. This implies that Partition CpuBind is a specific type of CpuBind."
203,doc_edd8,doc_edd8_chunk_0002,TaskPluginParam CpuBind,CpuBind,"The text mentions the TaskPluginParam configuration parameter from the slurm.conf file as a possible source of the resource binding information, which is CpuBind. This implies that TaskPluginParam CpuBind is a specific type of CpuBind."
204,doc_f2ec,doc_f2ec_chunk_0003,SlurmdDebug,debug,"The text refers to SlurmdDebug as a debug level, making it a specific form of debug."
205,doc_f486,doc_f486_chunk_0002,best-fit algorithm,algorithm,"The text describes the best-fit algorithm as a method used to determine the best nodes for resource allocation, which is a specific type of algorithm."
206,doc_f486,doc_f486_chunk_0002,select plugin,plugin,"The text identifies the select plugin as a component responsible for managing job allocation, which is a specific type of plugin."
207,doc_f486,doc_f486_chunk_0002,system state,state,"The text refers to the system state as a copy of the current system details, which is a specific type of state."
